id,tweet_id,tag_result,features,decision_source
40,1822500405001253400,Irrelevant,{},User agreement
41,1889488761966219500,Irrelevant,{},User agreement
42,1898974696915567000,Irrelevant,{},User agreement
43,1774973511414780400,Positive,"{Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Calling for violence and hostility against Israel"",""Collective blame of Jews for actions of the State of Israel""}",User agreement
44,1881705000759648500,Negative,{},User agreement
45,1755378209133109800,Positive,"{""Calls for harming/killing Jews"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
46,1746693130584518700,Positive,"{""Comparing Israel and its policies to Nazi Germany"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
47,1892258570550280200,Negative,{},User agreement
48,1881091030063231200,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",Other,""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
49,1745420597084278800,Negative,{},User agreement
50,1773841140489593000,Positive,"{Other,""Calling for violence and hostility against Israel""}",User agreement
51,1746338509190001000,Positive,"{""Calls for harming/killing Jews"",Other,""Calling for violence and hostility against Israel""}",User agreement
52,1851495881784058000,Negative,{},User agreement
53,1856151245762838800,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)"",Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
54,1891953164007486000,Irrelevant,{},User agreement
55,1885947749100892700,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Comparing Israel and its policies to Nazi Germany"",Other,""Cynical use of the Holocaust and Holocaust denial"",""Calling for violence and hostility against Israel""}",User agreement
56,1880394850111222000,Positive,"{""Comparing Israel and its policies to Nazi Germany"",""Calling for violence and hostility against Israel"",Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
58,1822179880714285000,Irrelevant,{},User agreement
57,1756267244244570600,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",Other,""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
60,1894617746496712700,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
62,1838542090843852800,Irrelevant,{},User agreement
65,1777907755065671700,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
66,1798634100854862300,Irrelevant,{},User agreement
70,1818941595401724400,Negative,{},User agreement
71,1870424282532372700,Irrelevant,{},User agreement
72,1723930025504981200,Negative,{},User agreement
77,1849210034259120000,Negative,{},User agreement
79,1756139288402793000,Irrelevant,{},User agreement
80,1771050271365562400,Negative,{},User agreement
82,1758751551898940000,Negative,{},User agreement
83,1884628008901685200,Irrelevant,{},User agreement
85,1884450684566671400,Positive,"{""Calls for harming/killing Jews"",""Spreading conspiracy theories about Jewish control (power, money, and media)"",""Blood libels and religiously based antisemitism"",""Demonization of Jews (portraying them as inferior and despicable)""}",User agreement
86,1828200152789930200,Irrelevant,{},User agreement
89,1836211949639790600,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Demonization of Jews (portraying them as inferior and despicable)"",Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
90,1843900448023163100,Irrelevant,{},User agreement
91,1830515986379969000,Positive,"{""Justifying Nazi ideology""}",User agreement
93,1802438908942438400,Positive,"{""Defaming Jewish symbols"",""Demonization of Jews (portraying them as inferior and despicable)"",Other}",User agreement
94,1870066692061016300,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
95,1870254963479462000,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Blood libels and religiously based antisemitism""}",User agreement
96,1772946275756884200,Irrelevant,{},User agreement
97,1820548633714159900,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
98,1792552460843938000,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)"",Other}",User agreement
101,1874997218501186000,Irrelevant,{},User agreement
106,1881809024532070400,Positive,"{Other,""Calling for violence and hostility against Israel""}",User agreement
107,1792566318820106800,Irrelevant,{},User agreement
108,1750803727152542200,Irrelevant,{},User agreement
59,1866413597083271400,Positive,"{Other,""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
61,1848838599325741300,Negative,{},User agreement
63,1824462989313163800,Irrelevant,{},User agreement
64,1729995122564362800,Positive,"{""Calls for harming/killing Jews""}",User agreement
67,1843756416596881700,Negative,{},User agreement
68,1870417092098584800,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Spreading conspiracy theories about Jewish control (power, money, and media)"",Other}",User agreement
69,1818267260114313500,Negative,{},User agreement
73,1756263285547229400,Negative,{},User agreement
74,1767792654656676000,Positive,"{Other,""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
75,1825033694828261400,Negative,{},User agreement
76,1880506350108905700,Positive,"{Other,""Spreading conspiracy theories about Jewish control (power, money, and media)"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
78,1792180924249247700,Positive,"{Other,""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
81,1710606557963329500,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
84,1803264551154262500,Positive,"{""Justifying Nazi ideology"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
87,1742590255625273600,Irrelevant,{},User agreement
88,1756182091979796700,Irrelevant,{},User agreement
92,1830394375500935400,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
99,1803098622734823700,Irrelevant,{},User agreement
100,1884010963546108000,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",Other}",User agreement
102,1884683965493035300,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)"",Other}",User agreement
103,1887304432817201700,Irrelevant,{},User agreement
104,1893783988671496200,Positive,"{""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
105,1836561164115022000,Irrelevant,{},User agreement
109,1797031569959649500,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Calling for violence and hostility against Israel""}",User agreement
110,1750741071687250200,Irrelevant,{},User agreement
111,1735784069550706700,Irrelevant,{},User agreement
112,1883428769475768600,Irrelevant,{},User agreement
113,1747135117997552000,Irrelevant,{},User agreement
114,1838960244883382500,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
115,1838159553080569900,Negative,{},User agreement
116,1862306773987742200,Positive,"{Other,""Blood libels and religiously based antisemitism""}",User agreement
117,1855320479449358600,Irrelevant,{},User agreement
118,1756067862727532500,Irrelevant,{},User agreement
119,1804644489317020000,Irrelevant,{},User agreement
120,1822191131427230000,Irrelevant,{},User agreement
121,1881520626395234300,Irrelevant,{},User agreement
122,1887696017404883500,Negative,{},User agreement
123,1873812202341438000,Negative,{},User agreement
124,1893550338222723300,Negative,{},User agreement
125,1840683524199788800,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Collective blame of Jews for actions of the State of Israel""}",User agreement
126,1794857368645444000,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Collective blame of Jews for actions of the State of Israel"",""Comparing Israel and its policies to Nazi Germany"",Other,""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
127,1873296707200614700,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Demonization of Jews (portraying them as inferior and despicable)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Collective blame of Jews for actions of the State of Israel""}",User agreement
128,1793582106284884200,Negative,{},User agreement
129,1883846124102115600,Negative,{},User agreement
130,1882107729248186600,Negative,{},User agreement
131,1831199241815118300,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Spreading conspiracy theories about Jewish control (power, money, and media)"",""Calling for violence and hostility against Israel"",""Collective blame of Jews for actions of the State of Israel""}",User agreement
132,1838329505712136200,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Collective blame of Jews for actions of the State of Israel""}",User agreement
133,1825115515834045000,Negative,{},User agreement
134,1871168303315722500,Negative,{},User agreement
135,1767055708128739300,Negative,{},User agreement
136,1782924539846103300,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",Other}",User agreement
139,1838931933427823000,Positive,"{""Cynical use of the Holocaust and Holocaust denial""}",User agreement
140,1829058255269835000,Negative,{},User agreement
290,1781196684539933000,Positive,"{""Calls for harming/killing Jews"",""Calling for violence and hostility against Israel""}",User agreement
137,1846367395453260000,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Applying double standards to Israel that are not applied to other states (double standard)"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
138,1875414494043893800,Negative,{},User agreement
142,1880768789153002000,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
146,1822668032617198000,Negative,{},User agreement
147,1728275405218648300,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Spreading conspiracy theories about Jewish control (power, money, and media)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Calling for violence and hostility against Israel""}",User agreement
152,1854747771745509600,Negative,{},User agreement
153,1873013880798232600,Negative,{},User agreement
154,1864918234064949800,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Spreading conspiracy theories about Jewish control (power, money, and media)"",Other}",User agreement
157,1880271304160604400,Negative,{},User agreement
158,1851767146319352000,Positive,"{""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
159,1794495605655650600,Irrelevant,{},User agreement
160,1867403859708326100,Positive,"{""Collective blame of Jews for actions of the State of Israel""}",User agreement
161,1824376712878276900,Irrelevant,{},User agreement
163,1833153106957243000,Negative,{},User agreement
164,1782359087503815000,Positive,"{Other,""Spreading conspiracy theories about Jewish control (power, money, and media)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
165,1892449898152272000,Positive,"{""Collective blame of Jews for actions of the State of Israel"",""Applying double standards to Israel that are not applied to other states (double standard)"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
166,1879273128494592000,Negative,{},User agreement
167,1818108235892867600,Irrelevant,{},User agreement
141,1861907865939689500,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
143,1833968278240460800,Negative,{},User agreement
144,1796380428632560000,Negative,{},User agreement
145,1741445946050011600,Positive,"{""Collective blame of Jews for actions of the State of Israel"",""Applying double standards to Israel that are not applied to other states (double standard)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Defaming Jewish symbols"",""Calls for harming/killing Jews"",""Calling for violence and hostility against Israel""}",User agreement
148,1794840484168470800,Positive,"{""Cynical use of the Holocaust and Holocaust denial""}",User agreement
149,1759365735829340700,Positive,"{""Collective blame of Jews for actions of the State of Israel"",""Applying double standards to Israel that are not applied to other states (double standard)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Blood libels and religiously based antisemitism"",""Defaming Jewish symbols"",""Calls for harming/killing Jews"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
150,1822486202404176400,Negative,{},User agreement
151,1863921539864785400,Negative,{},User agreement
155,1740618948394258700,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Collective blame of Jews for actions of the State of Israel"",""Applying double standards to Israel that are not applied to other states (double standard)"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
156,1876420358775185700,Negative,{},User agreement
162,1835272530875253200,Irrelevant,{},User agreement
168,1795549799854600400,Irrelevant,{},User agreement
169,1821493032413474800,Negative,{},User agreement
170,1797400366746931500,Irrelevant,{},User agreement
171,1865165607940788200,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)"",""Calling for violence and hostility against Israel""}",User agreement
172,1795976023520993300,Irrelevant,{},User agreement
173,1745376560222507000,Irrelevant,{},User agreement
174,1865463403474481400,Irrelevant,{},User agreement
175,1876700438185013500,Irrelevant,{},User agreement
176,1820196184629109200,Irrelevant,{},User agreement
177,1888743550621295000,Positive,"{""Justifying Nazi ideology""}",User agreement
178,1795520116417007600,Negative,{},User agreement
179,1847790045450949000,Negative,{},User agreement
180,1822823889338356000,Irrelevant,{},User agreement
181,1887334995884114200,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
182,1895046621605568500,Irrelevant,{},User agreement
183,1831685948838678500,Irrelevant,{},User agreement
184,1854092675734983200,Irrelevant,{},User agreement
185,1834013428786094600,Irrelevant,{},User agreement
186,1896766516785455000,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
187,1885743893297217500,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
188,1840632234878910700,Irrelevant,{},User agreement
189,1892565588377039000,Irrelevant,{},User agreement
190,1870599023146799000,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
191,1751767306689237200,Positive,"{Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
192,1795643009734005200,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
193,1829657738626085000,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
194,1883474728679289000,Irrelevant,{},User agreement
195,1824058247353102600,Irrelevant,{},User agreement
196,1712170219047616800,Positive,"{Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Calling for violence and hostility against Israel""}",User agreement
197,1759043162981773600,Positive,"{Other,""Calling for violence and hostility against Israel""}",User agreement
198,1764580896425058800,Irrelevant,{},User agreement
199,1854779000000070100,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Applying double standards to Israel that are not applied to other states (double standard)"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
200,1776135526304961000,Positive,"{""Justifying Nazi ideology"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",Pro user
201,1854855842744434700,Negative,{},Pro user
202,1842055813873168600,Negative,{},Pro user
203,1820755460301160700,Negative,{},Pro user
204,1871368190410019000,Positive,"{Other,""Justifying Nazi ideology""}",Pro user
205,1881412423011463400,Irrelevant,{},Pro user
206,1797069516117307600,Negative,{},Pro user
207,1750342962561835300,Negative,{},Pro user
208,1841989004599951400,Positive,"{""Comparing Israel and its policies to Nazi Germany"",Other}",Pro user
209,1868319628302455000,Irrelevant,{},Pro user
210,1823785328681083100,Negative,{},Pro user
211,1798674639553806300,Positive,{Other},Pro user
212,1893316790266081300,Positive,"{""Justifying Nazi ideology"",Other}",Pro user
213,1822487643688747300,Positive,{Other},Pro user
214,1856499937229582800,Negative,{},Pro user
215,1895992439409951200,Positive,"{""Calls for harming/killing Jews""}",Pro user
216,1865388358442144300,Irrelevant,{},Pro user
294,1817377926280884500,Negative,{},User agreement
217,1886359892773982500,Positive,"{""Collective blame of Jews for actions of the State of Israel"",""Applying double standards to Israel that are not applied to other states (double standard)""}",Pro user
218,1884264526973133000,Negative,{},Pro user
219,1866623068870939100,Irrelevant,{},Pro user
220,1756089766083474000,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",Pro user
221,1793858328290050600,Positive,"{""Justifying Nazi ideology""}",Pro user
222,1845432006072479700,Negative,{},Pro user
223,1840728422836035600,Irrelevant,{},Pro user
224,1721048691128295700,Positive,{Other},Pro user
225,1800409693703274800,Irrelevant,{},Pro user
226,1718376488280666400,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Collective blame of Jews for actions of the State of Israel""}",Pro user
227,1791663452953420300,Positive,"{""Justifying Nazi ideology""}",Pro user
228,1865384854424039700,Irrelevant,{},Pro user
229,1803289152521380000,Irrelevant,{},Pro user
230,1896726728871161900,Positive,"{""Justifying Nazi ideology""}",Pro user
231,1864283410807525600,Irrelevant,{},Pro user
232,1828396570061987800,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",Pro user
233,1800452572391809300,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Collective blame of Jews for actions of the State of Israel""}",Pro user
234,1771049696095555800,Positive,{Other},Pro user
235,1896389880449761500,Positive,"{""Denying the Jewish people's right to self-determination/the right of Israel to exist"",Other}",Pro user
236,1794430426372772000,Irrelevant,{},Pro user
237,1872913797494780200,Negative,{},Pro user
238,1795378182037909500,Positive,"{""Calling for violence and hostility against Israel""}",Pro user
239,1772567296063525000,Negative,{},Pro user
240,1794719730248581400,Negative,{},Pro user
241,1855880783451357700,Positive,{Other},Pro user
242,1818586536101003300,Negative,{},Pro user
243,1838374687707140000,Positive,{Other},Pro user
244,1891848967253541000,Negative,{},Pro user
245,1814806429288853800,Irrelevant,{},Pro user
246,1753239988500943400,Irrelevant,{},Pro user
247,1794945715858543000,Irrelevant,{},Pro user
248,1793263303529226500,Positive,"{""Justifying Nazi ideology""}",Pro user
249,1712756308255150300,Positive,"{""Collective blame of Jews for actions of the State of Israel"",""Applying double standards to Israel that are not applied to other states (double standard)""}",Pro user
250,1812637841853452500,Negative,{},Pro user
251,1794578578497241300,Positive,"{""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",Pro user
252,1883427493732053200,Irrelevant,{},Pro user
253,1821486987976798700,Positive,"{""Justifying Nazi ideology""}",Pro user
254,1886601651961913300,Irrelevant,{},Pro user
255,1893585377539359200,Irrelevant,{},Pro user
256,1848455235670352000,Irrelevant,{},Pro user
257,1790627113676231200,Irrelevant,{},Pro user
258,1895251361278894300,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",Pro user
259,1881094067586847000,Irrelevant,{},Pro user
260,1860886203777618200,Positive,"{""Justifying Nazi ideology""}",Pro user
261,1730503602865873000,Positive,"{""Collective blame of Jews for actions of the State of Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Applying double standards to Israel that are not applied to other states (double standard)""}",Pro user
262,1893550831703581000,Negative,{},Pro user
263,1806843252286603500,Irrelevant,{},Pro user
264,1880775626124317200,Irrelevant,{},Pro user
265,1822467983966703900,Irrelevant,{},Pro user
266,1785995936906510600,Irrelevant,{},Pro user
267,1827282659778949000,Negative,{},Pro user
268,1818021779434259000,Irrelevant,{},Pro user
269,1749202713047634200,Positive,"{""Comparing Israel and its policies to Nazi Germany"",Other}",Pro user
270,1867781234988085500,Positive,"{""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Applying double standards to Israel that are not applied to other states (double standard)""}",Pro user
271,1867403873398521900,Positive,{Other},Pro user
272,1882176487375487200,Negative,{},Pro user
273,1852736769843749400,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",Pro user
274,1873081963277631500,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)""}",Pro user
275,1843546977960669400,Irrelevant,{},Pro user
276,1848151855236293000,Negative,{},Pro user
277,1877957283755303400,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",Pro user
278,1876803199924928800,Irrelevant,{},Pro user
279,1828771301944918300,Negative,{},Pro user
280,1748532417017811200,Irrelevant,{},Pro user
281,1841003461539959000,Irrelevant,{},Pro user
282,1886119815460368400,Irrelevant,{},Pro user
283,1852409123842994400,Positive,{Other},Pro user
284,1789609992594895000,Negative,{},Pro user
285,1836686301581672400,Irrelevant,{},User agreement
286,1757640983972626700,Negative,{},User agreement
287,1822985534823645200,Irrelevant,{},User agreement
288,1811301709253333200,Positive,"{""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
289,1743044541454983200,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Collective blame of Jews for actions of the State of Israel"",""Comparing Israel and its policies to Nazi Germany"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
295,1818942219900052000,Negative,{},User agreement
291,1840516621028221000,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
292,1867403876594594000,Negative,{},User agreement
293,1878101848030392600,Irrelevant,{},User agreement
297,1836808680655786500,Negative,{},User agreement
299,1783479713505448000,Irrelevant,{},User agreement
300,1870071456081817600,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Collective blame of Jews for actions of the State of Israel"",Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Defaming Jewish symbols""}",User agreement
301,1889916010855276800,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Collective blame of Jews for actions of the State of Israel""}",User agreement
302,1865863122730545200,Negative,{},User agreement
307,1818538644011204900,Negative,{},User agreement
308,1877404226860511500,Irrelevant,{},User agreement
309,1837792632942350600,Negative,{},User agreement
310,1788458395248578800,Irrelevant,{},User agreement
311,1888373835772449000,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Demonization of Jews (portraying them as inferior and despicable)"",""Spreading conspiracy theories about Jewish control (power, money, and media)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
312,1895537830077870000,Irrelevant,{},User agreement
296,1822962536616014000,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Calling for violence and hostility against Israel""}",User agreement
298,1836937085573267500,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
303,1718162482395750400,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
304,1710583473604604200,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Applying double standards to Israel that are not applied to other states (double standard)"",Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
305,1822956336508018700,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)"",Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
306,1820618757758472200,Negative,{},User agreement
313,1799410568467726600,Positive,"{""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
314,1802339810616431000,Irrelevant,{},User agreement
315,1802160675827167500,Irrelevant,{},User agreement
316,1840925996532600800,Negative,{},User agreement
317,1845076610258698500,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
318,1735615039946867000,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
319,1891715551325553000,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",Other}",User agreement
320,1726337256599016000,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Calling for violence and hostility against Israel""}",User agreement
321,1822313518773010400,Irrelevant,{},User agreement
322,1764213922872307700,Irrelevant,{},User agreement
323,1800499502597722400,Negative,{},User agreement
324,1879664907106587100,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
325,1782917671560089900,Positive,{Other},User agreement
326,1892404777503408400,Irrelevant,{},User agreement
327,1886221397061767400,Irrelevant,{},User agreement
328,1819267913523888400,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Calling for violence and hostility against Israel""}",User agreement
